apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP14751.21,SAP ESP 610 SD Enel X Romania,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14751.18,SAP ESP 610 Technical Roles,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14332,SAP EWMS Sao Paulo Brazil,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14332.01,SAP EWMS SP - Perfil (TI),Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14332.02,SAP EWMS SP - Suprimentos Logistica,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP30091,SAP FIORI - ENEL SP,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP30091.03,SAP FIORI SP - Contas a Pagar,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP30091.02,SAP FIORI SP - GDS,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP30091.01,SAP FIORI SP - MOP,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP30091.05,SAP FIORI SP - Mov Materiais Mobile ,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP30091.04,SAP FIORI SP - Perfis,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
IT06429,SAP GRC Access Control,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
AP29653,SAP GRC NFE - ENEL SP,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,false
IT02521.01,SAP GRC PC ICT Module,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,false
IT02521,SAP GRC Process Control (GRP),Active,Production,Business Analytics,COTS (Commercial Off-The-Shelf customized),false,false
AP18031,SAP GRC RM,Active,Production,Business Analytics,COTS (Commercial Off-The-Shelf customized),false,false
AP18031.02,SAP GRC RM  -   LATAM,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP18031.03,SAP GRC RM  -   USA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP18031.01,SAP GRC RM - J2EE,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
IT03821.06,SAP HR Cloud Connector,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,false
IT03821,SAP HR Global (HGP),Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
IT03821.02,SAP HR Global (HGP) - Web Layer,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
IT06366,SAP HR Italia (HRP),Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
IT06366.23,SAP HR Italia (HRP) -  OCR Services from AWS,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf NOT customized),false,false
IT06366.13,SAP HR Italia (HRP) - Adempimenti,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
IT06366.05,SAP HR Italia (HRP) - Anagrafica Personale,Active,Production,Business Transactional,Custom (developed from the scratch),true,true
IT06366.04,SAP HR Italia (HRP) - Compensation,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
IT06366.11,SAP HR Italia (HRP) - ICE WTS ICT,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
IT06366.20,SAP HR Italia (HRP) - J2EE,Active,Production,Technical infrastructures,Custom (developed from the scratch),false,false
IT06366.01,SAP HR Italia (HRP) - Payroll,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP04909,SAP HR PI (Process Integration),Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,false
AP36602,SAP IBP - ENELXWAY,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP05043,SAP IS-U Argentina - Billing,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
